cd_cnpj;nu_ordem;cd_ramo_atividade;de_ramo_atividade;chave_cnae
06319255001170;3;0220902;PRODUCAO DE CARVAO VEGETAL  FLORESTAS PLANTADAS;02
10886199000150;0;6911701;SERVICOS ADVOCATICIOS;69
12019359000190;0;7820500;LOCACAO DE MAODEOBRA TEMPORARIA;78
12019359000190;1;8111700;SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS;81
06216178000150;0;4330499;OBRAS DE ALVENARIA;43
06216178000150;1;4399103;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;43
12459122000120;0;4321500;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;43
12459122000120;1;4751200;INSTALACAO E MANUTENCAO ELETRICA;47
12459122000120;2;4751202;OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE;47
12459122000120;3;6190699;RECARGA DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMATICA;61
12459122000120;4;9511800;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;95
10532571000120;0;0139306;CULTIVO DE SERINGUEIRA;01
11163415000100;0;8630501;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES;86
11163415000100;1;8630502;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS;86
11163415000100;2;8630503;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;86
11163415000100;3;8711501;CLINICAS E RESIDENCIAS GERIATRICAS;87
20963351002230;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
55055743000150;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
55055743000150;1;9493600;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;94
55055743000150;2;9499500;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;94
11199599000150;0;5911102;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR;59
11199599000150;1;5911199;ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE;59
11199599000150;2;5913800;DISTRIBUICAO CINEMATOGRAFICA, DE VIDEO E DE PROGRAMAS DE TELEVISAO;59
11199599000150;3;7739099;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;77
11199599000150;4;8299799;PRODUCAO DE FILMES PARA PUBLICIDADE;82
09445384000120;0;4773300;COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS;47
09445384000120;1;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
09445384000120;2;9603304;SERVICOS DE FUNERARIAS;96
87301180000120;0;6920601;ATIVIDADES DE CONTABILIDADE;69
08739568000130;0;6822600;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA;68
04500550000120;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
12810402000130;0;4744002;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;47
12810402000130;1;4744099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
05410317000110;0;7112000;SERVICOS DE ENGENHARIA;71
12223579000130;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;82
96617865000170;0;4729601;TABACARIA;47
08047579000150;0;0111302;CULTIVO DE MILHO;01
08047579000150;1;0115600;CULTIVO DE SOJA;01
12690066000130;0;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
12690066000130;1;4322301;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS;43
12690066000130;2;4330404;OBRAS DE ALVENARIA;43
12690066000130;3;4399103;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;43
12690066000130;4;6209100;SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;62
94409778000100;0;4729601;TABACARIA;47
21081120000130;0;6912500;CARTORIOS;69
77687663000150;0;3101200;COMERCIO VAREJISTA DE MOVEIS;31
77687663000150;1;4754701;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;47
77687663000150;2;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;49
13103110000120;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
84630474000450;0;4623109;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;46
37224847000160;0;4649499;COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS;46
37224847000160;1;4669999;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;46
37224847000160;2;4689399;COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIARIOS NAO ESPECIFICADOS ANTERIORMENTE;46
11971190000100;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;96
07244034000170;0;6622300;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;66
12121605000110;0;0119999;CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE;01
12121605000110;1;0132600;CULTIVO DE UVA;01
12708033000170;0;4520003;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
12708033000170;1;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES;45
12708033000170;2;4530704;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;45
62955505281310;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
21614193000140;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
21614193000140;1;7410201;DESIGN;74
21614193000140;2;7490105;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;74
21614193000140;3;7490199;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;74
21614193000140;4;8299799;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE;82
05008116000190;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
07095151000110;0;8512100;EDUCACAO INFANTIL  PREESCOLA;85
15493137000100;0;9529102;CHAVEIROS;95
09253073000160;0;1340599;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;13
05266699000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
12537293000120;0;1412602;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;14
12537293000120;1;1521100;FABRICACAO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL;15
09437544000190;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
09437544000190;1;9511800;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;95
00326297000180;0;4711301;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;47
14644627000190;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;82
13629575000110;0;4399101;ADMINISTRACAO DE OBRAS;43
13629575000110;1;8121400;LIMPEZA EM PREDIOS E EM DOMICILIOS;81
15581916000150;0;1352900;FABRICACAO DE ARTEFATOS DE TAPECARIA;13
03471229000100;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
06230514000110;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
14894610000190;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
14894610000190;1;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
05438357000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
13401477000120;0;4751200;CASAS LOTERICAS;47
13401477000120;1;4761003;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;47
13401477000120;2;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
13401477000120;3;8219999;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;82
13401477000120;4;8299706;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;82
72833999000160;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
12481765000170;0;4729602;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
12481765000170;1;4729699;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS;47
12481765000170;2;4761001;COMERCIO VAREJISTA DE LIVROS;47
12481765000170;3;4762800;COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA;47
12481765000170;4;4772500;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;47
11771732000100;0;4763602;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;47
10441320000130;0;1622602;FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS;16
10850466000130;0;3321000;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE;33
10850466000130;1;4614100;INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;46
10850466000130;2;7112000;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MAQUINAS, EQUIPAMENTOS, EMBARCACOES E AERONAVES;71
10850466000130;3;7119799;SERVICOS DE ENGENHARIA;71
10480447000240;0;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
10480447000240;1;4781400;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;47
10480447000240;2;4782202;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
15697292000130;0;4771704;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;47
15697292000130;1;4789004;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;47
15697292000130;2;9609208;HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS;96
15217444000150;0;1066000;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;10
15217444000150;1;4771704;FABRICACAO DE ALIMENTOS PARA ANIMAIS;47
15220854000150;0;1622699;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;16
15220854000150;1;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
15220854000150;2;4322301;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS;43
15220854000150;3;4399103;OBRAS DE ALVENARIA;43
15220854000150;4;8299707;SALAS DE ACESSO A INTERNET;82
15740742000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
08216974000380;0;0131800;CULTIVO DE LARANJA;01
01995195000110;0;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;49
03391792000160;0;4921301;TRANSPORTE ESCOLAR;49
03391792000160;1;4921302;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERESTADUAL;49
03391792000160;2;4922102;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERMUNICIPAL EM REGIAO METROPOLITANA;49
03391792000160;3;4924800;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, MUNICIPAL;49
03391792000160;4;4930202;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;49
08457794000390;0;0111302;CULTIVO DE MILHO;01
08457794000390;1;0115600;CULTIVO DE SOJA;01
14222846000180;0;4763602;ATIVIDADES DE CONDICIONAMENTO FISICO;47
14222846000180;1;9313100;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;93
07669934000160;0;4617600;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO;46
06137179000100;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
06137179000100;1;7410299;ATIVIDADES DE DESIGN NAO ESPECIFICADAS ANTERIORMENTE;74
06137179000100;2;7490105;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;74
06137179000100;3;7490199;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;74
06137179000100;4;8299799;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE;82
01387360000150;0;8112500;CONDOMINIOS PREDIAIS;81
09545298000190;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
40484867000850;0;4711302;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS;47
48346043000150;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
13567044000140;0;5611201;RESTAURANTES E SIMILARES;56
13598884000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
04056122000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
04841694000140;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;45
66508078000120;0;8112500;CONDOMINIOS PREDIAIS;81
11726294000150;0;4744001;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
11726294000150;1;4755502;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
11726294000150;2;4755503;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;47
11726294000150;3;4759899;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;47
11726294000150;4;4761003;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;47
11959342000150;0;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
11959342000150;1;4759801;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS;47
34481390000180;0;1351100;FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO;13
12555119000100;0;4712100;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
12555119000100;1;4742300;COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS;47
12555119000100;2;4744003;COMERCIO VAREJISTA DE MATERIAL ELETRICO;47
12555119000100;3;4744099;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
07907566000140;0;7312200;AGENCIAMENTO DE ESPACOS PARA PUBLICIDADE, EXCETO EM VEICULOS DE COMUNICACAO;73
07907566000140;1;7319002;ATIVIDADES DE TELEATENDIMENTO;73
07907566000140;2;7319003;MARKETING DIRETO;73
07907566000140;3;8220200;PROMOCAO DE VENDAS;82
07907566000140;4;8230001;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;82
01682355000170;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
08455770000130;0;0810099;EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO;08
74034307000140;0;4322302;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;43
74034307000140;1;4751200;INSTALACAO E MANUTENCAO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILACAO E REFRIGERACAO;47
74034307000140;2;9521500;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;95
14672094000150;0;1629302;FABRICACAO DE ARTEFATOS DIVERSOS DE CORTICA, BAMBU, PALHA, VIME E OUTROS MATERIAIS TRANCADOS, EXCETO MOVEIS;16
02521644000150;0;4741500;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;47
14133477000150;0;4923001;SERVICO DE TAXI;49
14133477000150;1;5229001;SERVICOS DE APOIO AO TRANSPORTE POR TAXI, INCLUSIVE CENTRAIS DE CHAMADA;52
06021074000190;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;45
07784989000110;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
14550570000160;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
14570622000160;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;82
01052752000240;0;8599601;FORMACAO DE CONDUTORES;85
09353200000100;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA;47
09353200000100;1;4783101;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;47
09353200000100;2;4783102;COMERCIO VAREJISTA DE ARTIGOS DE RELOJOARIA;47
09102759000150;0;4782201;COMERCIO VAREJISTA DE CALCADOS;47
09310725000150;0;3250706;ATIVIDADE ODONTOLOGICA;32
09310725000150;1;8630504;SERVICOS DE PROTESE DENTARIA;86
08374337000170;0;0113000;CRIACAO DE BOVINOS PARA CORTE;01
08374337000170;1;0151201;CULTIVO DE CANADEACUCAR;01
08225677000130;0;4330401;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;43
08225677000130;1;4744005;IMPERMEABILIZACAO EM OBRAS DE ENGENHARIA CIVIL;47
13865327000410;0;5611201;RESTAURANTES E SIMILARES;56
15296818000170;0;1351100;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;13
15296818000170;1;4755503;FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO;47
08402134000140;0;0151201;CRIACAO DE BOVINOS PARA CORTE;01
59121624000100;0;3329501;COMERCIO VAREJISTA DE MOVEIS;33
59121624000100;1;4754701;SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL;47
92112333000120;0;4744002;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS;47
92112333000120;1;4759801;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;47
92112333000120;2;5223100;ESTACIONAMENTO DE VEICULOS;52
08661339000140;0;6470101;FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS;64
14577061000120;0;8130300;ATIVIDADES PAISAGISTICAS;81
14797432000180;0;3511502;ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO;35
14797432000180;1;6463800;ATIVIDADES DE COORDENACAO E CONTROLE DA OPERACAO DA GERACAO E TRANSMISSAO DE ENERGIA ELETRICA;64
14797432000180;2;6630400;OUTRAS SOCIEDADES DE PARTICIPACAO, EXCETO HOLDINGS;66
16700845000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
14581505000100;0;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
15309170000120;0;1020101;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;10
15309170000120;1;4634603;PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS;46
14384803000100;0;4924800;TRANSPORTE ESCOLAR;49
07104105000210;0;8599601;FORMACAO DE CONDUTORES;85
